line,statn_id,statn_nm,direction,time_band,day_type,headway_samples,p50_sec,p90_sec,mean_sec,std_sec,cv,over_1p5x_ratio
1호선,1001000113,도봉산,하행,퇴근,평일,6,502,820,550.0,152.8,0.278,0.167
1호선,1001000114,도봉,상행,점심,평일,4,503,569,487.0,90.9,0.187,0.0
1호선,1001000114,도봉,상행,출근,평일,5,405,582,438.0,92.2,0.211,0.0
1호선,1001000114,도봉,상행,퇴근,평일,4,318,436,346.0,86.9,0.251,0.0
1호선,1001000114,도봉,하행,점심,평일,5,525,890,500.0,263.8,0.527,0.2
1호선,1001000114,도봉,하행,출근,평일,8,416,864,458.0,176.0,0.385,0.125
1호선,1001000114,도봉,하행,퇴근,평일,6,501,810,550.0,148.9,0.271,0.167
1호선,1001000115,방학,상행,점심,평일,4,488,576,487.0,113.6,0.233,0.0
1호선,1001000115,방학,상행,출근,평일,5,421,572,440.0,86.4,0.197,0.0
1호선,1001000115,방학,상행,퇴근,평일,4,341,425,358.0,82.6,0.231,0.0
1호선,1001000115,방학,하행,점심,평일,4,340,596,400.0,188.7,0.472,0.25
1호선,1001000115,방학,하행,출근,평일,9,416,878,431.0,191.9,0.445,0.111
1호선,1001000115,방학,하행,퇴근,평일,5,503,629,500.0,83.8,0.168,0.0
1호선,1001000116,창동,상행,점심,평일,6,558,675,538.0,117.2,0.218,0.0
1호선,1001000116,창동,상행,출근,평일,5,426,581,438.0,88.8,0.203,0.0
1호선,1001000116,창동,상행,퇴근,평일,5,426,889,466.0,247.0,0.529,0.2
1호선,1001000116,창동,하행,점심,평일,6,435,584,446.0,147.7,0.331,0.0
1호선,1001000116,창동,하행,출근,평일,10,359,510,387.0,124.2,0.321,0.1
1호선,1001000116,창동,하행,퇴근,평일,6,506,635,513.0,92.0,0.179,0.0
1호선,1001000117,녹천,상행,점심,평일,4,489,613,500.0,150.8,0.302,0.0
1호선,1001000117,녹천,상행,출근,평일,5,427,571,442.0,82.2,0.186,0.0
1호선,1001000117,녹천,상행,퇴근,평일,5,403,819,462.0,205.6,0.445,0.2
1호선,1001000117,녹천,하행,점심,평일,5,551,879,511.0,258.4,0.506,0.2
1호선,1001000117,녹천,하행,출근,평일,9,349,834,423.0,186.4,0.44,0.222
1호선,1001000117,녹천,하행,퇴근,평일,6,504,629,513.0,81.2,0.159,0.0
1호선,1001000118,월계,상행,점심,평일,4,520,636,515.0,140.8,0.273,0.0
1호선,1001000118,월계,상행,출근,평일,5,429,567,442.0,83.2,0.188,0.0
1호선,1001000118,월계,상행,퇴근,평일,6,381,838,411.0,228.7,0.557,0.167
1호선,1001000118,월계,하행,점심,평일,4,412,562,411.0,186.9,0.455,0.0
1호선,1001000118,월계,하행,출근,평일,9,394,870,421.0,200.5,0.476,0.111
1호선,1001000118,월계,하행,퇴근,평일,6,492,643,512.0,87.7,0.171,0.0
1호선,1001000119,광운대,상행,점심,평일,11,243,397,311.0,132.2,0.425,0.273
